Chemical Name,SMILES,Hydration Free Energy (kcal/mol),Train/Test
butylacetate,CCCCOC(C)=O,-2.55,train
"1,2-dichloropropane",C[C@@H](CCl)Cl,-1.27,test
1-propanethiol,CCCS,-1.05,train
naphthalene,c1ccc2ccccc2c1,-2.39,train
3-chloropyridine,c1cc(cnc1)Cl,-4.01,train
"N,N-dimethyl-p-methoxybenzamide",COc1ccc(cc1)C(=O)N(C)C,-11.01,train
"1-amino-4-hydroxy-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53,train
1-butanol,CCCCO,-4.72,train
quinoline,c1ccc2c(c1)cccn2,-5.72,train
"1,2,4,5-tetrachlorobenzene",c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34,train
"1,1,1,2-tetrachloroethane",ClCC(Cl)(Cl)Cl,-1.15,test
ethylparaben,CCOC(=O)c1ccc(O)cc1,-9.2,train
ethylacetate,CCOC(C)=O,-3.1,test
trichloroethene,ClC=C(Cl)Cl,-0.39,test
"2,4-dimethylpyridine",Cc1ccnc(C)c1,-4.86,train
ethyl4-cyanophenylphenylthiophosphonate,CC[S](c1ccc(cc1)C#N)=[P]([O-])([O-])c2ccccc2,-5.1,train
"1,3,5-trichlorobenzene",c1c(cc(cc1Cl)Cl)Cl,-0.78,train
1-butyne,CCC#C,-0.16,test
"N-cyclopropylmethyl-2,6-dinitro-N-propyl-4-trifluoromethylaniline(profluralin)",CCCN(CC1CC1)c2c(cc(cc2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,-2.5,train
"3,3-dimethylbutanone",CC(=O)C(C)(C)C,-2.89,train
ethyl benzoate,CCOC(=O)c1ccccc1,-3.64,test
N-methylmorpholine,CN1CCOCC1,-6.34,train
but-2-enal,C/C=C/C=O,-4.22,train
propylbenzene,CCCc1ccccc1,-0.53,train
cyclohexanone,C1CCC(=O)CC1,-4.91,train
1-methylpiperidine,CN1CCCCC1,-3.88,train
bromotoluene,Cc1ccccc1Br,-2.37,train
hexanoicacid,CCCCCC(O)=O,-6.21,train
"1,1,2-trichloro-1,2,2-trifluoroethane",FC(F)(Cl)C(F)(Cl)Cl,1.77,train
5-Bromo-3-sec-butyl-6-methyl-uracil(bromacil),CCC(C)N1C(=O)NC(=C(Br)C1=O)C,-9.7,train
oct-2-enal,CCCCC/C=C/C=O,-3.43,train
2-nitropropane,CC(C)[N+]([O-])=O,-3.14,train
bromoethane,CCBr,-0.7,test
2-ethylpyrazine,CCc1cnccn1,-5.51,train
9H-fluorene,c1ccc-2c(c1)Cc3c2cccc3,-3.35,train
"N2,N4-diisopropyl-6-methylthio-1,3,5-triazine-2,4-diamine(prometryn)",CSc1nc(NC(C)C)nc(NC(C)C)n1,-8.4,train
acetonitrile,CC#N,-3.89,train
p-xylene,Cc1ccc(C)cc1,-0.81,train
1-bromo-2-chloroethane,ClCCBr,-1.95,train
hydrazine,NN,-6.26,train
diethoxymethoxybenzene,CCOC(OCC)Oc1ccccc1,-5.23,train
"N2-tert-butyl-N4-ethyl-6-methylthio-1,3,5-triazine-2,4-diamine(terbutryn)",CCNc1nc(NC(C)(C)C)nc(SC)n1,-6.7,train
hexanamide,CCCCCC(=O)N,-9.31,train
"1,3-diacetyloxypropan-2-ylacetate(glyceroltriacetate)",CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84,train
ethyleneglycolmononitrate,C(CO[N+](=O)[O-])O,-8.2,train
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,train
4-amino-4'-nitroazobenzene,Nc1ccc(cc1)N=Nc2ccc(cc2)[N+]([O-])=O,-11.2,train
"Z-1,2-dichloroethene",Cl\C=C/Cl,-1.17,train
"S-4-chlorophenylthiomethylO,O-diethylphosphorodithioate(carbophenothion)",CCO[P](=S)(OCC)SCSc1ccc(Cl)cc1,-6.5,train
"2,6-dichlorobenzonitrile",Clc1cccc(Cl)c1C#N,-5.22,train
octafluorocyclobutane,FC1(F)C(F)(F)C(F)(F)C1(F)F,3.43,train
"1,1,2-trichloroethane",ClCC(Cl)Cl,-1.95,train
methylcyclohexane,CC1CCCCC1,1.71,train
pentanal,CCCCC=O,-3.03,train
"1,1-dimethyl-3-phenylurea",CN(C)C(=O)Nc1ccccc1,-9.63,test
"1,1,1-trifluoropropan-2-ol",CC(O)C(F)(F)F,-4.16,train
methyl cyclopropanecarboxylate,COC(=O)C1CC1,-4.1,train
(2E)-hex-2-enal,CCC/C=C/C=O,-3.68,test
cyclopentane,C1CCCC1,1.2,train
1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.68,train
"a-[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-o-toluicacid(bensulfuron)",COC(=O)c1ccccc1C[S](=O)(=O)NC(=O)Nc2nc(OC)cc(OC)n2,-17.2,test
"1-chloro-2,2,2-trifluoroethyldifluoromethylether",C(C(F)(F)F)(OC(F)F)Cl,0.11,test
ethylformate,CCOC=O,-2.65,test
pyridine,c1ccncc1,-4.7,train
"2,3-dichlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56,train
methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1,-3.3,train
pentylbenzene,CCCCCc1ccccc1,-0.23,train
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98,train
"1,2-dimethoxyethane",COCCOC,-4.84,train
2-methoxyethanol,COCCO,-6.77,train
ethanol,CCO,-5.01,test
aniline,Nc1ccccc1,-5.49,test
"2,6-dichlorosyringaldehyde",COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68,test
methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,train
4-methylpyridine,Cc1ccncc1,-4.94,train
"1,2-dinitroxypropane",CC(CO[N+]([O-])=O)O[N+]([O-])=O,-5,train
propylamine,CCCN,-4.39,train
hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-2.33,test
ethane,CC,1.83,train
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28,train
methane,C,2,train
hydrogenperoxide,OO,-8.58,test
ethylphenylether,CCOc1ccccc1,-2.22,test
1-methylthymine,CN1C=C(C)C(=O)NC1=O,-10.4,train
thiophenol,Sc1ccccc1,-2.55,train
tetrahydropyran,C1CCOCC1,-3.12,train
acetophenone,CC(=O)c1ccccc1,-4.58,train
"1,1,1,2-tetramethoxyethane",COCC(OC)(OC)OC,-5.73,train
"2,3-dichlorobiphenyl",Clc1cccc(c2ccccc2)c1Cl,-2.45,train
"1,2,4-trimethylbenzene",Cc1ccc(c(c1)C)C,-0.86,train
"1,1-dimethylhydrazine",CN(C)N,-4.48,train
dichloromethane,ClCCl,-1.36,test
"s-trans-1,3-butadiene",C=CC=C,0.61,train
m-hydroxybenzaldehyde,Oc1cccc(C=O)c1,-9.51,train
N-(3-hydroxyphenyl)acetamide,CC(=O)Nc1cccc(O)c1,-13.93,train
chloroethane,CCCl,-0.63,train
isobutyl 2-methylpropanoate,CC(C)COC(=O)C(C)C,-1.69,test
bromobenzene,Brc1ccccc1,-1.46,train
"2-(2,3-dimethylphenyl)aminobenzoic acid",Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78,test
1-(4-methoxyphenyl)ethanone,CC(=O)c1ccc(cc1)OC,-4.4,train
1-methylpyrrole,Cn1cccc1,-2.89,train
1-nitropentane,CCCCC[N+](=O)[O-],-2.82,test
bromomethane,CBr,-0.82,train
trimethylphosphate,CO[P](=O)(OC)OC,-8.7,test
2-methylpropene,CC(C)=C,1.16,test
4-heptanone,CCCC(=O)CCC,-2.93,train
propanal,CCC=O,-3.44,train
"9,10-dihydroanthracene",c1ccc2c(c1)Cc3ccccc3C2,-3.78,train
anisole,COc1ccccc1,-2.45,train
"N,N-dimethyl-4-nitro-benzamide",CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95,train
1-amino-anthraquinone,Nc1cccc2C(=O)c3ccccc3C(=O)c12,-8,train
"1,4-dioxane",C1COCCO1,-5.05,train
2-heptanone,CCCCCC(C)=O,-3.04,train
ethylperoxide,CCOOCC,-5.32,train
hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-1.4,test
butanoicacid,CCCC(O)=O,-6.36,train
"1,1,2,3,3,3-hexafluoroprop-1-ene",C(=C(F)F)(C(F)(F)F)F,2.93,train
cyclohexanamine,C1CCC(CC1)N,-4.59,train
"3-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)thiophene-2-carboxylicacid(thifensulfuron)",COc1nc(C)nc(NC(=O)N[S](=O)(=O)c2ccsc2C(O)=O)n1,-16.2,train
decan-2-one,CCCCCCCCC(=O)C,-2.34,train
benzaldehyde,O=Cc1ccccc1,-4.02,train
"3a,4,7,7a-tetrahydro-2-[(trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione(captan)",ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,-9,train
1-iodohexane,CCCCCCI,0.08,train
4-hydroxybenzonitrile,c1cc(ccc1C#N)O,-10.17,test
propene,CC=C,1.27,train
"methyl 2,2,2-trifluoroacetate",COC(=O)C(F)(F)F,-1.1,train
bis(2-chloroethyl)sulfide,ClCCSCCCl,-3.92,test
phenylformate,[O-]C(=O)c1ccccc1,-3.82,train
"3,aminoaniline",c1ccc(cc1)NN,-9.92,train
propylacetate,CCCOC(C)=O,-2.86,train
"1,3-dichloropropane",C(CCl)CCl,-1.89,train
"1,4-diamino-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85,train
tripropylphosphate,CCCO[P](=O)(OCCC)OCCC,-6.1,train
uracil,O=C1NC=CC(=O)N1,-16.59,train
2-octanone,CCCCCCC(C)=O,-2.88,train
"1,1-dichloroethane",CC(Cl)Cl,-0.84,train
acetaldehyde,CC=O,-3.5,train
pentylamine,CCCCCN,-4.1,train
trimethoxymethane,COC(OC)OC,-4.42,train
"N,N'-dimethylpiperazine",CN1CCN(C)CC1,-7.58,train
fluoromethane,CF,-0.22,train
1-chlorohexane,CCCCCCCl,0,test
"N,N-dimethylbenzamide",CN(C)C(=O)c1ccccc1,-9.29,test
"3,6-dichloro-2-methoxybenzoicacid(dicamba)",COc1c(Cl)ccc(Cl)c1C(O)=O,-9.9,test
iodomethane,CI,-0.89,train
"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53,train
fluorotrichloromethane,FC(Cl)(Cl)Cl,0.82,test
N-methylcarbamicacid[1-(methylthio)ethylideneamino]ester(methomyl),CNC(=O)O\N=C(/C)SC,-10.7,train
isopropanol,CC(C)O,-4.76,train
butanal,CCCC=O,-3.18,test
o-cresol,Cc1ccccc1O,-5.87,train
4-nitroaniline,Nc1ccc(cc1)[N+]([O-])=O,-9.45,train
dipropylamine,CCCNCCC,-3.66,train
2-methylaniline,Cc1ccccc1N,-5.56,train
1-chloropropane,CCCCl,-0.27,train
hydrogen,[HH],2.33,train
flurbiprofen(racemic),CC(C(O)=O)c1ccc(c(F)c1)c2ccccc2,-8.42,train
"1,2,4-trichlorobenzene",c1cc(c(cc1Cl)Cl)Cl,-1.12,test
diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74,train
propyne,CC#C,-0.31,train
2-methylthiophene,Cc1cccs1,-1.38,train
"1,2-ethanediol",OCCO,-9.3,train
1-butoxy-2-propanol,CCCCOC[C@H](C)O,-5.73,train
3-pentanone,CCC(=O)CC,-3.41,test
ethyl hexanoate,CCCCCC(=O)OCC,-2.23,train
cyclopropane,C1CC1,0.75,train
1-hexanol,CCCCCCO,-4.36,train
indane,c1ccc2c(c1)CCC2,-1.46,test
diethyl4-nitrophenylthiophosphonate,CC[S](CC)=[P]([O-])([O-])c1ccc(cc1)[N+]([O-])=O,-6.27,test
dimethyl5-(4-chloro)bicyclo[3.2.0]heptylphosphate,C12C(C=CC1)C(=C2Cl)O[P+]([O-])(OC)OC,-7.28,train
aceticacid,CC(O)=O,-6.7,train
oct-1-yne,CCCCCCC#C,0.71,train
diethoxy-[(2-isopropyl-6-methyl-4-pyrimidinyl)oxy]-thioxophosphorane(diazinon),CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,-6.5,train
1-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52,train
hexylbenzene,CCCCCCc1ccccc1,-0.04,test
5-iodouracil,IC1=CNC(=O)NC1=O,-18.72,train
hexyl acetate,CCCCCCOC(=O)C,-2.26,train
"O,O-diethyl-O-4-nitro-phenylthiophosphate(parathion)",CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,-6.7,train
iodoethane,CCI,-0.72,test
2-methylpyridine,Cc1ccccn1,-4.63,train
methyl 2-cyanoacetate,COC(=O)CC#N,-6.72,test
water,O,-6.31,train
"3,5-dimethylpyridine",Cc1cncc(C)c1,-4.84,train
2-chlorosyringaldehyde,COc1cc(c(c(c1O)OC)Cl)C=O,-7.78,train
"diethyl2,4-dichlorophenylthiophosphate",CC[S](CC)(c1ccc(Cl)cc1Cl)=[P]([O-])([O-])[O-],-3.86,train
trimethylamine,CN(C)C,-3.23,train
carbon tetrachloride,C(Cl)(Cl)(Cl)Cl,0.08,train
"1,4-dimethylnaphthalene",Cc1ccc(c2c1cccc2)C,-2.82,train
4-methyl-1H-imidazole,Cc1c[nH]cn1,-10.27,test
N-butylbutan-1-amine,CCCCNCCCC,-3.24,train
sec-butylbenzene,CC[C@H](C)c1ccccc1,-0.45,train
acetamide,CC(N)=O,-9.71,train
methylsulfinylmethane,CS(=O)C,-9.28,train
"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07,train
piperazine,C1CNCCN1,-7.4,train
"2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide(alachlor)",CCc1cccc(CC)c1N(COC)C(=O)CCl,-8.2,test
"2,2,2-trifluoroethanol",OCC(F)(F)F,-4.31,test
6-chlorouracil,ClC1=CC(=O)NC(=O)N1,-15.83,train
pentanenitrile,CCCCC#N,-3.52,test
cyclopentene,C1CC=CC1,0.56,test
diflunisal,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,-9.4,test
hept-1-yne,CCCCCC#C,0.6,test
p-hydroxybenzaldehyde,Oc1ccc(C=O)cc1,-10.48,train
"1,1-diacetoxyethane",CC(OC(C)=O)OC(C)=O,-4.97,train
2-methoxybenzoicacid,COc1ccccc1C(O)=O,-10.32,test
1-heptanol,CCCCCCCO,-4.24,train
2-chlorobutane,CCC(C)Cl,0.07,train
2-methyl-1-nitrobenzene,Cc1ccccc1[N+]([O-])=O,-3.59,train
2-methylpentane,CCCC(C)C,2.52,train
tert-butylbenzene,CC(C)(C)c1ccccc1,-0.44,train
dimethylsulfide,CSC,-1.54,train
methylsulfonylmethane,CS(=O)(=O)C,-10.08,train
5-trifluoromethyluracil,FC(F)(F)C1=CNC(=O)NC1=O,-15.46,train
6-isopropyl-3-methyl-1-cyclohex-2-enone,CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51,train
"4-amino-3,5,6-trichloropyridine-2-carboxylicacid",Nc1c(Cl)c(Cl)nc(C(O)=O)c1Cl,-11.96,train
"(RS)-2-sec-butyl-4,6-dinitrophenol(dinoseb)",CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,-6.2,test
pentyl propanoate,CCCCCOC(=O)CC,-2.11,train
bromotrichloromethane,ClC(Cl)(Cl)Br,-0.93,test
dimethyl4-nitrophenylthiophosphate,C[S](C)(c1ccc(cc1)[N+]([O-])=O)=[P]([O-])([O-])[O-],-7.62,test
E-2-pentene,CC/C=C/C,1.34,train
methyl 4-nitrobenzoate,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,train
"2,2,2-trifluorethylvinylether",C=COCC(F)(F)F,-0.12,train
2-chlorophenol,c1ccc(c(c1)O)Cl,-4.55,train
1-bromobutane,CCCCBr,-0.41,train
1-iodopropane,CCCI,-0.59,train
3-methylaniline,Cc1cccc(N)c1,-5.67,train
"2,3-dimethylnaphthalene",Cc1cc2ccccc2cc1C,-2.78,train
"N-butyl-N-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline(benefin)",CCCCN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,-3.5,test
"1,3-bis-(nitrooxy)butane",C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29,test
acetylsalicylicacid,CC(=O)Oc1ccccc1C(O)=O,-9.94,train
naphthalen-2-amine,c1ccc2cc(ccc2c1)N,-7.47,test
"E-1,2-dichloroethene",Cl\C=C\Cl,-0.76,test
chlorofluoromethane,FCCl,-0.77,train
3-nitrophenol,c1cc(cc(c1)O)[N+](=O)[O-],-9.62,train
"2,7-dichlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67,train
1-pentyne,CCCC#C,0.01,train
piperazine,C1CNCCN1,-7.4,train
naphthalen-1-ol,c1ccc2c(c1)cccc2O,-7.67,test
5-fluorouracil,FC1=CNC(=O)NC1=O,-16.92,train
2-iodophenol,c1ccc(c(c1)O)I,-6.2,train
m-cresol,Cc1cccc(O)c1,-5.49,train
1-hexene,CCCCC=C,1.68,test
"2,4-dimethylpentane",CC(C)CC(C)C,2.88,train
"(2-dimethylamino-5,6-dimethyl-pyrimidin-4-yl)N,N-dimethylcarbamate(pirimor,pirimicarb)",CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-9.4,train
cyclohexane,C1CCCCC1,1.23,test
1-nitrobutane,CCCC[N+]([O-])=O,-3.08,train
chloroform,ClC(Cl)Cl,-1.07,train
2-chloropyridine,c1ccnc(c1)Cl,-4.39,train
4-fluorophenol,c1cc(ccc1O)F,-6.19,test
isopropenylbenzene,CC(=C)c1ccccc1,-1.24,train
1-chloroheptane,CCCCCCCCl,0.29,train
"2,6-dichlorothiobenzamide",NC(=S)c1c(Cl)cccc1Cl,-10.81,test
2-chloropropane,CC(C)Cl,-0.25,train
ethylbenzene,CCc1ccccc1,-0.8,train
chloropentaflouroethane,C(C(F)(F)Cl)(F)(F)F,2.86,test
"1,4-dichlorobutane",C(CCCl)CCl,-2.32,train
N-ethylaniline,CCNc1ccccc1,-4.62,train
methylisopropylether,COC(C)C,-2.01,train
bromoform,BrC(Br)Br,-1.98,train
1-iodobutane,CCCCI,-0.25,train
acenaphthene,c1cc2cccc3c2c(c1)CC3,-3.15,train
ethanethiol,CCS,-1.3,train
5-amino-4-chloro-2-phenyl-3-(2H)-pyridazinone(pyrazon),NC1=C(Cl)C(=O)N(N=C1)c2ccccc2,-16.4,train
"1,2,4-trichlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3c(cc(c(c3O2)Cl)Cl)Cl,-4.05,train
2-methylpropane,CC(C)C,2.32,train
trimethylorthotrifluoroacetate,COC(OC)(OC)C(F)(F)F,-0.8,train
butylparaben,CCCCOC(=O)c1ccc(O)cc1,-8.72,test
1-chloropentane,CCCCCCl,0.07,test
S-propylbutyl(ethyl)thiocarbamate(pebulate),CCCCN(CC)C(=O)SCCC,-3.6,train
nitrobenzene,[O-][N+](=O)c1ccccc1,-4.12,train
2-nitrophenol,c1ccc(c(c1)[N+](=O)[O-])O,-4.58,train
chlorotoluene,ClCc1ccccc1,-1.92,train
pentylcyclopentane,CCCCCC1CCCC1,2.55,train
imidazole,[nH]1ccnc1,-9.81,train
"1,4,5,6,7,8,8-heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene(heptachlor)",ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-2.6,train
hexyl nitrate,CCCCCCO[N+](=O)[O-],-1.66,train
p-bromotoluene,Cc1ccc(Br)cc1,-1.39,train
9-methyladenine,Cn1cnc2c(N)ncnc12,-13.6,test
tetrahydrofuran,C1CCOC1,-3.47,train
"2,3-dihydro-2,2-dimethyl-7-benzofuranylmethylcarbamate(carbofuran)",CNC(=O)Oc1cccc2CC(C)(C)Oc12,-9.6,test
phenol,Oc1ccccc1,-6.62,train
2-fluorophenol,c1ccc(c(c1)O)F,-5.29,train
heptan-1-amine,CCCCCCCN,-3.79,train
"1,2,3,4-tetrachlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81,train
ethyne,C#C,-0.01,train
"4-mesyl-2,6-dinitro-N,N-dipropylaniline(nitralin)",CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)[S](C)(=O)=O)[N+]([O-])=O,-8,train
decan-1-ol,CCCCCCCCCCO,-3.64,train
2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.04,train
"1,2-dibromoethane",C(CBr)Br,-2.33,train
2-methoxyaniline,COc1ccccc1N,-6.12,train
1-cyclohexylethanone,CC(=O)C1CCCCC1,-3.9,train
"1,1-diethoxyethane",CCOC(C)OCC,-3.28,train
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C/CO)/C)C,-4.45,train
phosphine,P,0.6,train
ketoprofen(racemic),CC(C(O)=O)c1cccc(c1)C(=O)c2ccccc2,-10.78,train
methylparathion,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19,train
dimethyldisulfide,CSSC,-1.83,train
p-bromophenol,Oc1ccc(Br)cc1,-7.13,test
flufenamicacid,OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F,-5.68,train
"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47,train
dipropylsulfide,CCCSCCC,-1.27,test
diethylamine,CCNCC,-4.07,test
ethyl2-(4-chloro-6-methoxypyrimidin-2-ylcarbamoylsulfamoyl)benzoate(chlorimuronethyl),CCOC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(Cl)cc(OC)n2,-14,train
sulfolane,O=[S]1(=O)CCCC1,-8.61,train
undecan-2-one,CCCCCCCCCC(=O)C,-2.15,train
"dimethyl4-bromo-2,5-dichlorophenylthiophosphate",C[S](C)(c1cc(Cl)c(Br)cc1Cl)=[P]([O-])([O-])[O-],-5.7,train
phthalimide,O=C1NC(=O)c2ccccc12,-9.61,train
cyclopentanone,O=C1CCCC1,-4.68,train
"2,2-dichloroethenyldimethylphosphate",COP(=O)(OC)OC=C(Cl)Cl,-6.61,test
pentan-1-amine,CCCCCN,-4.09,test
diethyldisulfide,CCSSCC,-1.63,train
m-bis(trifluoromethyl)benzene,FC(F)(F)c1cccc(c1)C(F)(F)F,1.07,train
