Chemical name,LogS exp (mol/L),SMILES,Unnamed: 3,Unnamed: 4,Unnamed: 5,dmw,MW,ORISET,REF,FOLD,Predicted HFE from extra trees (kcal/mol),weight (g),can SMILES
Benzthiazide,-4.83,O=S(=O)(c1c(Cl)cc2c(c1)S(=O)(=O)/N=C(\N2)CSCc3ccccc3)N,0,0,0,217.3,430.983,SCTS,"Hopfinger et al., J. Chem. Inf. Model., 49, 1 (2009)",2019SC 100 Compound Test Set,-13.77,430.983496608,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
Bromazepam,-3.48,O=C1Nc2c(C(c3ncccc3)=NC1)cc(Br)cc2,0,0,0,-116,315.001,SC19-100,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-11.61,315.00072404,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1
Candesartan_cilexetil,-6.79,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,0,0,0,295.3,610.254,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-11.55,610.253982808,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
Carbamazepine,-3.29,c1ccc2c(c1)C=Cc3ccccc3N2C(=O)N,0,0,0,-374,236.269,HUG-tr,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-9.55,236.094963004,NC(=O)N1c2ccccc2C=Cc2ccccc21
Carbazole,-5.27,c1ccc2c(c1)c3ccccc3[nH]2,0,0,0,-69.1,167.211,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-6.19,167.073499288,c1ccc2c(c1)[nH]c1ccccc12
Carbendazim,-4.52,COC(=O)Nc2nc1ccccc1[nH]2,0,0,0,23.9,191.069,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-11.26,191.069476528,COC(=O)Nc1nc2ccccc2[nH]1
Cefmenoxime,-3.27,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O,0,0,0,320,511.051,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-14.84,511.051477644,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1
Cefprozil,-1.68,C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)O,0,0,0,-121.9,389.105,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-14.19,389.104541708,C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1
Celecoxib,-4.74,O=S(=O)(c3ccc(n1nc(cc1c2ccc(cc2)C)C(F)(F)F)cc3)N,0,0,0,-8,381.076,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-10.9,381.075882348,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
Cephradine,-1.22,[C@H]13N(C(=O)[C@H]1NC([C@@H](C2=CCC=CC2)N)=O)C(=C(C)CS3)C(O)=O,0,0,0,-32,349.11,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-13.39,349.109627088,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1
Chlorpropamide,-3.25,Clc1ccc(S(=O)(NC(=O)NCCC)=O)cc1,0,0,0,-73.1,276.034,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-10.06,276.033540956,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
Cholic_Acid_Deoxy-,-3.79,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,0,0,0,116.3,392.293,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-12.11,392.29265976,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
Cilostazol,-4.93,O=C4Nc3c(cc(OCCCCc1nnnn1C2CCCCC2)cc3)CC4,0,0,0,-23.1,369.216,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-11.26,369.216475104,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
Cimetidine,-1.69,Cc1c(nc[nH]1)CSCCN\C(=N\C)NC#N,0,0,0,-117.1,252.116,DLS,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-9.9,252.115715512,C/N=C(\NC#N)NCCSCc1nc[nH]c1C
Ciprofloxacin,-3.6,O=C(c1cn(C2CC2)c2c(cc(F)c(N3CCNCC3)c2)c1=O)O,0,0,0,79,331.133,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-11.71,331.133219656,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
Cisapride,-4.7,O=C(c1c(OC)cc(N)c([Cl])c1)NC1C(OC)CN(CC1)CCCOc1ccc(F)cc1,0,0,0,134,465.183,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-11.93,465.183062308,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC
Corticosterone,-3.24,O=C4\C=C2/[C@]([C@H]1[C@@H](O)C[C@@]3([C@@H](C(=O)CO)CC[C@H]3[C@@H]1CC2)C)(C)CC4,0,0,0,-119,346.214,DLS,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-10.8,346.21440944,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
Cortisone_Acetate,-4.21,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,0,0,0,56.3,402.487,HUG-tr,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-10.79,402.20423868,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
Cyclosporin_A,-4.48,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,0,0,0,799.4,1201.841,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-13.37,1201.841367992,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
Daidzein,-5.23,c1cc(ccc1c2coc3cc(ccc3c2=O)O)O,0,0,0,-947.8,254.058,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-12.37,254.0579088,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
Desipramine,-3.63,N1(c2c(CCc3ccccc13)cccc2)CCCNC,0,0,0,12.1,266.178,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-7.38,266.178298704,CNCCCN1c2ccccc2CCc2ccccc21
Dexamethasone,-3.59,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0,0,0,126.3,392.467,HUG-tr,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-13.64,392.199902248,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
Diazoxide,-3.36,Clc1ccc2c(c1)S(=O)(=O)/N=C(\N2)C,0,0,0,-162.5,229.992,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-11.05,229.991676144,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
Diclofenac,-5.46,c1ccc(c(c1)CC(=O)O)Nc2c(cccc2Cl)Cl,0,0,0,65,295.017,DLS,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-6.3,295.016683952,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
Diflorasone_Diacetate,-4.88,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COC(=O)C)OC(=O)C)C)O)F)C)F,0,0,0,199.2,494.212,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-11.65,494.211609804,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
Difloxacin,-3.6,CN1CCN(CC1)c1c(cc2c(n(cc(C(=O)O)c2=O)c2ccc(cc2)F)c1)F,0,0,0,-95.1,399.139,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-12.24,399.139447908,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1
Diltiazem,-3.16,O=C2N(c3c(S[C@@H](c1ccc(OC)cc1)[C@H]2OC(=O)C)cccc3)CCN(C)C,0,0,0,15,414.161,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-8.92,414.161328312,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
Diphenylamine,-3.5,N(c1ccccc1)c2ccccc2,0,0,0,-244.9,169.227,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-6,169.089149352,c1ccc(Nc2ccccc2)cc1
Enalapril,-1.25,O=C(O)[C@H]2N(C(=O)[C@@H](N[C@H](C(=O)OCC)CCc1ccccc1)C)CCC2,0,0,0,207,376.2,SC19-100,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-12.03,376.199821996,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O
Estradiol_17alpha-,-4.84,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@H]2O)O,0,0,0,-103.8,272.388,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-8.38,272.177630008,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O
Estrone,-5.32,O=C4[C@]3(CC[C@@H]2c1ccc(O)cc1CC[C@H]2[C@@H]3CC4)C,0,0,0,-2.2,270.162,DLS,"Shareef et al., J. Chem. Eng. Data, 51, 879 (2006)",2019SC 100 Compound Test Set,-8.25,270.161979944,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
Ethoxzolamide,-4.4,C1=C(OCC)C=CC2=C1SC(=N2)[S](N)(=O)=O,0,0,0,-12.1,258.013,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-10.8,258.01328418,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
"Etoposide (148-167,25mg/ml)",-3.57,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@@H]3c4cc5c(cc4[C@H]([C@@H]6[C@@H]3COC6=O)c7cc(c(c(c7)OC)O)OC)OCO5)O)O,0,0,0,330.5,588.562,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-16.31,588.184291084,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
Eucalyptol,-1.64,CC12CCC(CC1)C(C)(C)O2 ,0,0,0,-434.3,154.253,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-3.51,154.135765196,CC12CCC(CC1)C(C)(C)O2
Fenbufen,-5.26,O=C(O)CCC(=O)c1ccc(cc1)c1ccccc1,0,0,0,100,254.285,HUG-iv,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-12.75,254.094294308,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
Flumequine,-3.73,CC1CCc2cc(F)cc3c2n1cc(C(O)=O)c3=O,0,0,0,6.8,261.08,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-10.9,261.080121464,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23
Flurbiprofen,-4.15,Fc2cc(ccc2c1ccccc1)C(C(=O)O)C,0,0,0,-17,244.09,DLS,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-8.42,244.089957876,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
Folic_Acid,-5.25,OC([C@H](CCC(O)=O)NC(C(C=C1)=CC=C1NCC2=NC3=C(O)N=C(N)N=C3N=C2)=O)=O,0,0,0,197,441.14,SCTS,"Hopfinger et al., J. Chem. Inf. Model., 49, 1 (2009)",2019SC 100 Compound Test Set,-16.25,441.139681328,Nc1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1
Ganciclovir,-1.85,O=C2/N=C(\Nc1n(cnc12)COC(CO)CO)N,0,0,0,-186,255.097,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-14.98,255.096753896,Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1
Glipizide,-5.49,Cc1cnc(cn1)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3,0,0,0,190.1,445.178,DLS,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-12.37,445.178375344,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
Griseofulvin,-3.25,C[C@@H]1CC(=O)C=C([C@]12C(=O)c3c(cc(c(c3O2)Cl)OC)OC)OC,0,0,0,-93.1,352.071,DLS,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-7.84,352.071365944,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
Haloperidol,-4.43,O=C(c1ccc(F)cc1)CCCN1CCC(CC1)(O)c1ccc([Cl])cc1,0,0,0,23.8,375.871,HUG-ts,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-9.91,375.140134876,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
Ibrutinib,-4.85,C=CC(=O)N1CCC[C@H](C1)n2c3c(c(n2)c4ccc(cc4)Oc5ccccc5)c(ncn3)N,0,0,0,64.3,440.196,SC19-100,"Avdeef, ADMET & DMPK, 8, 29 (2020)",2019SC 100 Compound Test Set,-13.21,440.196074008,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1
Indinavir,-3.94,O[C@@H]1(Cc2ccccc2[C@@H]1(NC(=O)[C@H](Cc1ccccc1)(C[C@@H](CN1[C@@H](CN(CC1)Cc1cnccc1)(C(=O)NC(C)(C)C))(O)))),0,0,0,173.2,613.363,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-12.44,613.362804984,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
Indomethacin,-4.61,Cc1c(c2cc(ccc2n1C(=O)c3ccc(cc3)Cl)OC)CC(=O)O,0,0,0,-256.3,357.077,SCTS,"Comer et al., ADMET & DMPK, 2, 18 (2014)",2019SC 100 Compound Test Set,-10.42,357.076785672,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
Indoprofen,-4.82,O=C(O)C(c1ccc(cc1)N3C(=O)c2ccccc2C3)C,0,0,0,-76,281.105,DLS,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-9.96,281.10519334,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1
Ketoconazole,-3.8,[C@]4(C1=CC=C(C=C1Cl)Cl)(O[C@@H](COC3=CC=C(N2CCN(C(C)=O)CC2)C=C3)CO4)C[N]5C=CN=C5,0,0,0,250.3,531.44,HUG-tr,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-10.03,530.148760736,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
L-DOPA_(Levodopa),-1.82,O=C(O)[C@@H](N)Cc1cc(O)c(O)cc1,0,0,0,-334.4,197.069,DLS,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-12.71,197.068807832,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
Maprotiline,-4.69,N(C)CCCC12c3c(C(c4ccccc14)CC2)cccc3,0,0,0,80.1,277.183,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-6.38,277.183049736,CNCCCC12CCC(c3ccccc31)c1ccccc12
Metolazone,-3.78,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,0,0,0,88.7,365.842,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-12.13,365.060090052,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
Nabumetone,-4.58,C(=O)(CCc1cc2c(cc(OC)cc2)cc1)C,0,0,0,-137.7,228.115,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-5.57,228.115029752,COc1ccc2cc(CCC(C)=O)ccc2c1
Naproxen,-4.5,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,0,0,0,2,230.094,DLS,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-10.21,230.094294308,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
Nelfinavir,-1.91,Cc1c(cccc1O)C(=O)N[C@H]([C@@H](CN1[C@@H](C[C@]2([C@@](C1)(CCCC2)([H]))([H]))(C(=O)NC(C)(C)C))(O))(CSc1ccccc1),0,0,0,337.2,567.313,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-11.58,567.31307792,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
Nevirapine,-3.19,O=C2Nc1c(ccnc1N(c3ncccc23)C4CC4)C,0,0,0,-301,266.304,HUG-ts,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-11.64,266.116761068,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
Nifedipine,-4.76,O=C(OC)\C1=C(\N/C(=C(/C(=O)OC)C1c2ccccc2[N+]([O-])=O)C)C,0,0,0,80,346.339,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-10.93,346.116486296,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
Nimesulide,-4.34,[O-][N+](=O)c2cc(Oc1ccccc1)c(cc2)NS(=O)(=O)C,0,0,0,-38.3,308.047,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-9.85,308.046692484,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
Norfloxacin,-2.76,CCn1cc(c(=O)c2cc(c(cc12)N1CCNCC1)F)C(=O)O,0,0,0,11.1,319.133,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-11.21,319.133219656,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
Nortriptyline,-4.02,N(CC\C=C1\c2c(CCc3c1cccc3)cccc2)C,0,0,0,-56,263.167,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-6.5,263.167399672,CNCCC=C1c2ccccc2CCc2ccccc21
Noscapine,-3.14,O=C2O[C@@H](c1ccc(OC)c(OC)c12)[C@@H]5N(C)CCc4c5c(OC)c3OCOc3c4,0,0,0,150,413.147,SC19-100,"Yalkowsky, He & Jain (CRC, 2010)",2019SC 100 Compound Test Set,-9.69,413.147452076,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
Ofloxacin,-1.27,CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,0,0,0,-52,361.144,SCTR,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-11.14,361.14378434,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
Oxazepam,-3.95,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,0,0,0,-74.4,286.718,HUG-tr,"Bergstrom et al., J. Chem. Inf. Comput. Sci., 44, 1477 (2004)",2019SC 100 Compound Test Set,-10.19,286.050905272,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
Oxyphenbutazone,-3.73,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 ,0,0,0,37.7,324.38,KAG-tr,"Delaney, JCICS 44, 1000 (2004)",2019SC 100 Compound Test Set,-9.91,324.1473925,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
Papaverine,-3.87,COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC,0,0,0,14.8,339.147,DLS,"Llinas et al., J. Chem. Inf. Model. 48, 1289 (2008)",2019SC 100 Compound Test Set,-8.37,339.147058152,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
Perphenazine,-4.16,Clc2cc1N(c3c(Sc1cc2)cccc3)CCCN4CCN(CCO)CC4,0,0,0,64,403.149,DLS,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-8.97,403.148511132,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
Phenacetin,-2.37,O=C(Nc1ccc(OCC)cc1)C,0,0,0,-224.1,179.095,DLS,"Rytting et al., AAPS J, 7:E78 (2005)",2019SC 100 Compound Test Set,-9.04,179.094628656,CCOc1ccc(NC(C)=O)cc1
